DC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,INVERTER_IDs_1BY6WEcLGh8j5v7,INVERTER_IDs_1IF53ai7Xc0U56Y,INVERTER_IDs_3PZuoBAID5Wc2HD,INVERTER_IDs_7JYdWkrLSPkdwr4,INVERTER_IDs_McdE0feGgRqW7Ca,INVERTER_IDs_VHMLBKoKgIrUVDU,INVERTER_IDs_WRmjgnKYAwPKWDb,INVERTER_IDs_YxYtjZvoooNbGkE,INVERTER_IDs_ZnxXDlPa8U1GXgE,INVERTER_IDs_ZoEaEvLYb1n2sOq,INVERTER_IDs_adLQvlD726eNBSB,INVERTER_IDs_bvBOhCH3iADSZry,INVERTER_IDs_iCRJl6heRkivqQ3,INVERTER_IDs_ih0vzX44oOqAx2f,INVERTER_IDs_pkci93gMrogZuBj,INVERTER_IDs_rGa61gmuvPhdLxV,INVERTER_IDs_sjndEbLyjtCKgGv,INVERTER_IDs_uHbuxQJl8lW7ozc,INVERTER_IDs_wCURE6d3bPkepu2,INVERTER_IDs_z9Y9gH1T5YWrNuG,INVERTER_IDs_zBIq5rxdHJRwDNY,INVERTER_IDs_zVJPv84UY57bAof,PREDICTED_AC,ACTUAL_AC,TIMESTAMP
7908.571429,26.492523071428568,40.41920307142857,0.5315657121428571,11,15,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,774.0370178419995,774.1142857,2020-06-11 11:15:00
7900.857143,26.492523071428568,40.41920307142857,0.5315657121428571,11,15,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,773.2260178570004,773.3714286,2020-06-11 11:15:00
7283.125,26.492523071428568,40.41920307142857,0.5315657121428571,11,15,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,713.192732137,713.1625,2020-06-11 11:15:00
8032.285714,26.492523071428568,40.41920307142857,0.5315657121428571,11,15,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,786.0145892830001,786.1857143,2020-06-11 11:15:00
7160.571429,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,701.1372142929998,701.2,2020-06-11 11:30:00
7504.375,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,734.6441250039998,734.725,2020-06-11 11:30:00
7411.0,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,725.545458329,725.6428571,2020-06-11 11:30:00
7390.0,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,723.290892857,723.5857143,2020-06-11 11:30:00
7452.571429,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,729.5387678640001,729.6857143,2020-06-11 11:30:00
7363.571429,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,720.9249107100003,721.0285714,2020-06-11 11:30:00
7318.571429,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,716.4867321400001,716.6,2020-06-11 11:30:00
7375.142857,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,722.0666428559995,722.1285714,2020-06-11 11:30:00
7452.142857,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,729.489671433,729.6571429,2020-06-11 11:30:00
7590.875,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,742.8317678580001,743.175,2020-06-11 11:30:00
6695.857143,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,655.7920178539997,655.8428571,2020-06-11 11:30:00
7319.625,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,716.530642853,716.725,2020-06-11 11:30:00
7276.25,26.57368573333333,40.655814933333325,0.4960136759999999,11,30,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,712.3650000120003,712.4625,2020-06-11 11:30:00
