DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,INVERTER_IDs_1BY6WEcLGh8j5v7,INVERTER_IDs_1IF53ai7Xc0U56Y,INVERTER_IDs_3PZuoBAID5Wc2HD,INVERTER_IDs_7JYdWkrLSPkdwr4,INVERTER_IDs_McdE0feGgRqW7Ca,INVERTER_IDs_VHMLBKoKgIrUVDU,INVERTER_IDs_WRmjgnKYAwPKWDb,INVERTER_IDs_ZnxXDlPa8U1GXgE,INVERTER_IDs_ZoEaEvLYb1n2sOq,INVERTER_IDs_adLQvlD726eNBSB,INVERTER_IDs_bvBOhCH3iADSZry,INVERTER_IDs_iCRJl6heRkivqQ3,INVERTER_IDs_ih0vzX44oOqAx2f,INVERTER_IDs_pkci93gMrogZuBj,INVERTER_IDs_rGa61gmuvPhdLxV,INVERTER_IDs_sjndEbLyjtCKgGv,INVERTER_IDs_uHbuxQJl8lW7ozc,INVERTER_IDs_wCURE6d3bPkepu2,INVERTER_IDs_z9Y9gH1T5YWrNuG,INVERTER_IDs_zBIq5rxdHJRwDNY,INVERTER_IDs_zVJPv84UY57bAof,INVERTER_IDs_YxYtjZvoooNbGkE,PREDICTED_AC,INVERTER_ID,Z_SCORE,ANOMALY
2025-06-25 05:15:00,24.225,0.0010625,5,15,2,0,22.65146255493164,0.8367597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1BY6WEcLGh8j5v7,-0.8249460725364961,False
2025-06-25 05:30:00,24.25,0.002125,5,30,2,0,22.906526565551758,0.8367597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1BY6WEcLGh8j5v7,-0.8249460725364961,False
2025-06-25 05:45:00,24.275,0.0031875,5,45,2,0,23.043535232543945,16.490202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37257142856,1BY6WEcLGh8j5v7,-0.8101458043141566,False
2025-06-25 06:00:00,24.3,0.00425,6,0,2,1,23.043535232543945,18.992807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8603571429099999,1BY6WEcLGh8j5v7,-0.8048860711904825,False
2025-06-25 06:15:00,24.4,0.0093125,6,15,2,1,23.48101234436035,106.50661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.311535714000003,1BY6WEcLGh8j5v7,-0.71375805625122,False
2025-06-25 06:30:00,24.5,0.014375,6,30,2,1,23.685352325439453,195.58556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.810464286000013,1BY6WEcLGh8j5v7,-0.6221151589485481,False
2025-06-25 06:45:00,24.6,0.0194375,6,45,2,1,24.046791076660156,278.19055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.867964286999996,1BY6WEcLGh8j5v7,-0.5352321314172139,False
2025-06-25 07:00:00,24.7,0.0245,7,0,2,1,23.97949981689453,326.92172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.55078571539999,1BY6WEcLGh8j5v7,-0.4847378462124351,False
2025-06-25 07:15:00,24.875,0.0316875,7,15,2,1,24.88835334777832,441.77737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7154464284,1BY6WEcLGh8j5v7,-0.36435068841098295,False
2025-06-25 07:30:00,25.049999999999997,0.038875,7,30,2,1,25.410856246948242,558.81805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.05867857140001,1BY6WEcLGh8j5v7,-0.24203801693071303,False
