Timestamp,Ambient Temp (°C),Irradiance (W/m²),IRRADIATION (kWh/m²),MODULE_TEMPERATURE,DC_CURRENT,AC_CURRENT
2025-06-13 00:00:00,24.7,0.0,0.0,23.34951309700201,4309.729195799998,398.6223124155
2025-06-13 00:15:00,24.65,0.0,0.0,23.289735962437145,4309.729195799998,398.6223124155
2025-06-13 00:30:00,24.6,0.0,0.0,23.229958827872284,4309.729195799998,398.6223124155
2025-06-13 00:45:00,24.55,0.0,0.0,23.17018169330742,4309.729195799998,398.6223124155
2025-06-13 01:00:00,24.5,0.0,0.0,23.110404558742555,4309.729195799998,398.6223124155
2025-06-13 01:15:00,24.5,0.0,0.0,23.110404558742555,4309.729195799998,398.6223124155
2025-06-13 01:30:00,24.5,0.0,0.0,23.110404558742555,4309.729195799998,398.6223124155
2025-06-13 01:45:00,24.5,0.0,0.0,23.110404558742555,4309.729195799998,398.6223124155
2025-06-13 02:00:00,24.5,0.0,0.0,23.110404558742555,4309.729195799998,398.6223124155
2025-06-13 02:15:00,24.475,0.0,0.0,23.080515991460125,4309.729195799998,398.6223124155
2025-06-13 02:30:00,24.45,0.0,0.0,23.05062742417769,4309.729195799998,398.6223124155
2025-06-13 02:45:00,24.424999999999997,0.0,0.0,23.020738856895257,4309.729195799998,398.6223124155
2025-06-13 03:00:00,24.4,0.0,0.0,22.990850289612826,4309.729195799998,398.6223124155
2025-06-13 03:15:00,24.375,0.0,0.0,22.960961722330396,4309.729195799998,398.6223124155
2025-06-13 03:30:00,24.35,0.0,0.0,22.93107315504797,4309.729195799998,398.6223124155
2025-06-13 03:45:00,24.325,0.0,0.0,22.90118458776553,4309.729195799998,398.6223124155
2025-06-13 04:00:00,24.3,0.0,0.0,22.871296020483104,4309.729195799998,398.6223124155
2025-06-13 04:15:00,24.275,0.0,0.0,22.84140745320067,4309.729195799998,398.6223124155
2025-06-13 04:30:00,24.25,0.0,0.0,22.81151888591824,4309.729195799998,398.6223124155
2025-06-13 04:45:00,24.225,0.0,0.0,22.78163031863581,4309.729195799998,398.6223124155
2025-06-13 05:00:00,24.2,0.0,0.0,22.751741751353375,4309.729195799998,398.6223124155
2025-06-13 05:15:00,24.25,5.0,0.00125,22.84838215181721,4309.729195799998,398.6223124155
2025-06-13 05:30:00,24.299999999999997,10.0,0.0025,22.94502255228104,4309.729195799998,398.6223124155
2025-06-13 05:45:00,24.349999999999998,15.0,0.00375,23.041662952744872,4309.729195799998,398.6223124155
2025-06-13 06:00:00,24.4,20.0,0.005,23.13830335320871,4309.729195799998,398.6223124155
2025-06-13 06:15:00,24.575,46.75,0.0116875,23.544741796745225,4309.729195799998,398.6223124155
2025-06-13 06:30:00,24.75,73.5,0.018375,23.95118024028174,4309.729195799998,398.6223124155
2025-06-13 06:45:00,24.925,100.25,0.0250625,24.357618683818256,4309.729195799998,398.6223124155
2025-06-13 07:00:00,25.1,127.0,0.03175,24.764057127354768,4309.729195799998,398.6223124155
2025-06-13 07:15:00,25.375,172.75,0.0431875,25.430130250437095,4309.729195799998,398.6223124155
2025-06-13 07:30:00,25.65,218.5,0.054625,26.096203373519423,4309.729195799998,398.6223124155
2025-06-13 07:45:00,25.925,264.25,0.0660625,26.76227649660175,4309.729195799998,398.6223124155
2025-06-13 08:00:00,26.2,310.0,0.0775,27.428349619684077,4309.729195799998,398.6223124155
2025-06-13 08:15:00,26.6,362.75,0.0906875,28.295474151437126,4309.729195799998,398.6223124155
2025-06-13 08:30:00,27.0,415.5,0.103875,29.162598683190176,3902.0793744499983,340.6439195755
2025-06-13 08:45:00,27.4,468.25,0.1170625,30.02972321494321,4400.022231649999,420.11485711049994
2025-06-13 09:00:00,27.8,521.0,0.13025,30.896847746696267,4385.586963849999,416.96141067549996
2025-06-13 09:15:00,28.0,519.5,0.129875,31.124897305186025,4435.670446049999,422.2561338955
2025-06-13 09:30:00,28.200000000000003,518.0,0.1295,31.35294686367579,4434.770892499999,427.4151249655
2025-06-13 09:45:00,28.400000000000002,516.5,0.129125,31.580996422165555,4443.8286603999995,427.6816249655
2025-06-13 10:00:00,28.6,515.0,0.12875,31.80904598065532,4441.36955325,427.47712496549997
2025-06-13 10:15:00,28.775000000000002,546.25,0.1365625,32.2486613635009,4253.577410449999,414.1703303175
2025-06-13 10:30:00,28.950000000000003,577.5,0.144375,32.68827674634649,4178.1929462,407.4345178175
2025-06-13 10:45:00,29.125,608.75,0.1521875,33.12789212919208,4210.6506248,409.78596424899996
2025-06-13 11:00:00,29.3,640.0,0.16,33.567507512037665,4211.137499799999,409.291151749
2025-06-13 11:15:00,29.475,658.25,0.1645625,33.91127840354593,4207.9708927500005,402.74894641399993
2025-06-13 11:30:00,29.65,676.5,0.169125,34.25504929505419,4393.52901775,417.86190177549986
2025-06-13 11:45:00,29.825,694.75,0.1736875,34.598820186562456,4440.084553299999,420.79863389049984
2025-06-13 12:00:00,30.0,713.0,0.17825,34.94259107807073,4262.86392835,404.6291338904999
2025-06-13 12:15:00,30.2,726.0,0.1815,35.277544107667495,4189.2752379,397.6837410304999
2025-06-13 12:30:00,30.4,739.0,0.18475,35.61249713726427,4201.672321300001,397.8423154354998
2025-06-13 12:45:00,30.6,752.0,0.188,35.94745016686105,4155.4575891,398.2822529354999
2025-06-13 13:00:00,30.8,765.0,0.19125,36.28240319645783,4131.24937485,398.6215207904999
2025-06-13 13:15:00,30.95,747.25,0.1868125,36.33087000621107,4112.44389865,398.3079434154999
2025-06-13 13:30:00,31.1,729.5,0.182375,36.37933681596432,4099.735237950001,397.0680535424999
2025-06-13 13:45:00,31.25,711.75,0.1779375,36.42780362571757,4073.9438093500003,396.1934553274999
2025-06-13 14:00:00,31.4,694.0,0.1735,36.47627043547081,4063.5873510000006,389.08776782749993
2025-06-13 14:15:00,31.299999999999997,637.25,0.1593125,35.93831809838777,4073.9438093500003,396.1934553274999
2025-06-13 14:30:00,31.2,580.5,0.145125,35.400365761304734,4082.4123808000004,397.0192410424999
