DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,AC_POWER
2025-06-26 15:45:00,28.725,0.071875,15,45,3,1,30.36796760559082,1097.5474853515625,1050.6766357421875
2025-06-26 16:00:00,28.7,0.0665,16,0,3,1,30.757429122924805,989.8051147460938,962.1477661132812
2025-06-26 16:15:00,28.6,0.0605,16,15,3,1,29.172245025634766,893.5851440429688,851.427978515625
2025-06-26 16:30:00,28.5,0.0545,16,30,3,1,28.95868492126465,820.2057495117188,810.1466064453125
2025-06-26 16:45:00,28.4,0.0485,16,45,3,1,28.85697364807129,710.4967651367188,690.1870727539062
2025-06-26 17:00:00,28.3,0.0425,17,0,3,1,28.474594116210938,607.3992919921875,603.9358520507812
2025-06-26 17:15:00,28.175,0.0359375,17,15,3,1,28.491716384887695,508.9516906738281,501.7935791015625
2025-06-26 17:30:00,28.05,0.029375,17,30,3,1,27.491456985473633,441.3131408691406,435.3629150390625
2025-06-26 17:45:00,27.925,0.0228125,17,45,3,1,27.46739959716797,330.67694091796875,321.114013671875
2025-06-26 18:00:00,27.8,0.01625,18,0,3,1,26.937660217285156,187.4946746826172,166.61756896972656
2025-06-26 18:15:00,27.575,0.012375,18,15,3,1,26.610008239746094,128.048095703125,115.83686828613281
2025-06-26 18:30:00,27.35,0.0085,18,30,3,1,26.16965675354004,85.35596466064453,88.05794525146484
2025-06-26 18:45:00,27.125,0.004625,18,45,3,1,25.905784606933594,23.566402435302734,11.193455696105957
2025-06-26 19:00:00,26.9,0.00075,19,0,3,0,25.144506454467773,2.6277048587799072,0.16043731570243835
2025-06-26 19:15:00,26.724999999999998,0.0005625,19,15,3,0,25.144506454467773,2.233537435531616,0.16043731570243835
2025-06-26 19:30:00,26.549999999999997,0.000375,19,30,3,0,24.94161033630371,2.233537435531616,0.16043731570243835
2025-06-26 19:45:00,26.375,0.0001875,19,45,3,0,24.721389770507812,2.233537435531616,0.16043731570243835
2025-06-26 20:00:00,26.2,0.0,20,0,3,0,24.140850067138672,2.6277048587799072,0.16043731570243835
2025-06-26 20:15:00,26.05,0.0,20,15,3,0,24.127504348754883,2.233537435531616,0.16043731570243835
2025-06-26 20:30:00,25.9,0.0,20,30,3,0,23.788679122924805,2.051318407058716,0.15671619772911072
2025-06-26 20:45:00,25.75,0.0,20,45,3,0,23.773210525512695,2.051318407058716,0.15671619772911072
2025-06-26 21:00:00,25.6,0.0,21,0,3,0,23.773210525512695,2.445485830307007,0.15671619772911072
2025-06-26 21:15:00,25.5,0.0,21,15,3,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-26 21:30:00,25.4,0.0,21,30,3,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-26 21:45:00,25.3,0.0,21,45,3,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-26 22:00:00,25.2,0.0,22,0,3,0,23.621915817260742,2.445485830307007,0.15671619772911072
2025-06-26 22:15:00,25.15,0.0,22,15,3,0,23.168495178222656,1.6143720149993896,0.12781170010566711
2025-06-26 22:30:00,25.1,0.0,22,30,3,0,23.168495178222656,1.6143720149993896,0.12781170010566711
2025-06-26 22:45:00,25.05,0.0,22,45,3,0,23.181180953979492,1.6143720149993896,0.12781170010566711
2025-06-26 23:00:00,25.0,0.0,23,0,3,0,23.181180953979492,2.0085394382476807,0.12781170010566711
2025-06-26 23:15:00,24.975,0.0,23,15,3,0,23.181180953979492,1.6143720149993896,0.12781170010566711
